title,filepath,bbox
A photo of hook,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[148.9, 0.4, 15.79, 11.5]"
A photo of hook,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[88.76, 0.0, 15.67, 9.09]"
A photo of hook,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[230.35, 2.72, 13.32, 22.2]"
A photo of hook,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[191.34, 0.0, 16.83, 20.15]"
A photo of hook,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[317.64, 46.76, 1.95, 1.76]"
A photo of hook,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[167.1, 2.78, 11.76, 24.34]"
A photo of hook,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[331.79, 46.56, 1.85, 2.52]"
A photo of hook,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[107.35, 0.0, 10.31, 3.44]"
A photo of hook,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[242.56, 10.16, 9.77, 21.06]"
A photo of hook,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[72.42, 0.0, 11.43, 6.12]"
A photo of hook,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[205.72, 0.79, 9.03, 20.01]"
A photo of hook,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[209.4, 12.28, 7.76, 12.29]"
A photo of hook,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[216.27, 0.0, 10.44, 23.81]"
A photo of hook,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[122.16, 1.72, 10.97, 10.58]"
A photo of hook,../RegionCLIP/datasets/lvis/lvis_v1_val_images/000000397133.jpg,"[373.42, 45.11, 1.85, 1.45]"
